views,comments,shares,likes,duration,captions,hashtags,created_at,created_day,created_month,created_year,tokenized_captions,filtered_captions,caption_length,split_hashtags
4992,123,398,463,7,Faccio finta di non aver visto mamma foryoupage foryou,"mamma, foryoupage, foryou",2020-05-20,Wednesday,May,2020,"['Faccio', 'finta', 'di', 'non', 'aver', 'visto', 'mamma', 'foryoupage', 'foryou']","['Faccio', 'finta', 'di', 'non', 'aver', 'visto', 'mamma', 'foryoupage', 'foryou']",54,"['mamma', 'foryoupage', 'foryou']"
5402,415,1468,769,12,Voi chi andare a prendere nottedelgiudizioforyoupage foryou,"nottedelgiudizio, foryoupage, foryou",2020-05-19,Tuesday,May,2020,"['Voi', 'chi', 'andare', 'a', 'prendere', 'nottedelgiudizioforyoupage', 'foryou']","['Voi', 'chi', 'andare', 'prendere', 'nottedelgiudizioforyoupage', 'foryou']",59,"['nottedelgiudizio', 'foryoupage', 'foryou']"
2300000,2233,6558,2135,9,foryoupage foryou comedy,"foryoupage, foryou, comedy",2020-05-19,Tuesday,May,2020,"['foryoupage', 'foryou', 'comedy']","['foryoupage', 'foryou', 'comedy']",24,"['foryoupage', 'foryou', 'comedy']"
2201,87,111,274,8,officialzakinho seguitelo il mio amicoforyoupage foryou,"foryoupage, foryou",2020-05-18,Monday,May,2020,"['officialzakinho', 'seguitelo', 'il', 'mio', 'amicoforyoupage', 'foryou']","['officialzakinho', 'seguitelo', 'il', 'mio', 'amicoforyoupage', 'foryou']",55,"['foryoupage', 'foryou']"
1299,51,177,16,8,Chi si  tagliato i capelli oggi nopressure foryoupage foryou,"nopressure, foryoupage, foryou",2020-05-18,Monday,May,2020,"['Chi', 'si', 'tagliato', 'i', 'capelli', 'oggi', 'nopressure', 'foryoupage', 'foryou']","['Chi', 'si', 'tagliato', 'capelli', 'oggi', 'nopressure', 'foryoupage', 'foryou']",60,"['nopressure', 'foryoupage', 'foryou']"
1881,125,92,223,7,Rispondi a felixino07 foryoupage foryou,"foryoupage, foryou",2020-05-18,Monday,May,2020,"['Rispondi', 'a', 'felixino07', 'foryoupage', 'foryou']","['Rispondi', 'felixino07', 'foryoupage', 'foryou']",39,"['foryoupage', 'foryou']"
173,90,680,237,7,La situazione si  ribaltata ciseicifai foryoupage foryou corna,"ciseicifai, foryoupage, foryou, corna",2020-05-18,Monday,May,2020,"['La', 'situazione', 'si', 'ribaltata', 'ciseicifai', 'foryoupage', 'foryou', 'corna']","['La', 'situazione', 'si', 'ribaltata', 'ciseicifai', 'foryoupage', 'foryou', 'corna']",62,"['ciseicifai', 'foryoupage', 'foryou', 'corna']"
1500000,486,8347,1779,10,Rip per il portiere nopressure foryoupage foryou football,"nopressure, foryoupage, foryou, football",2020-05-17,Sunday,May,2020,"['Rip', 'per', 'il', 'portiere', 'nopressure', 'foryoupage', 'foryou', 'football']","['Rip', 'per', 'il', 'portiere', 'nopressure', 'foryoupage', 'foryou', 'football']",57,"['nopressure', 'foryoupage', 'foryou', 'football']"
120,99,52,13,7,Rispondi a sjdjrndjxjcj foryoupage foryou,"foryoupage, foryou",2020-05-17,Sunday,May,2020,"['Rispondi', 'a', 'sjdjrndjxjcj', 'foryoupage', 'foryou']","['Rispondi', 'sjdjrndjxjcj', 'foryoupage', 'foryou']",41,"['foryoupage', 'foryou']"
5377,113,104,602,13,Come era vostro Padre ad inizio quarantenaforyoupage foryou comedy quarantine,"foryoupage, foryou, comedy, quarantine",2020-05-17,Sunday,May,2020,"['Come', 'era', 'vostro', 'Padre', 'ad', 'inizio', 'quarantenaforyoupage', 'foryou', 'comedy', 'quarantine']","['Come', 'era', 'vostro', 'Padre', 'ad', 'inizio', 'quarantenaforyoupage', 'foryou', 'comedy', 'quarantine']",77,"['foryoupage', 'foryou', 'comedy', 'quarantine']"
131,43,195,173,12,Addio famiglia foryoupage foryou comedy,"foryoupage, foryou, comedy",2020-05-16,Saturday,May,2020,"['Addio', 'famiglia', 'foryoupage', 'foryou', 'comedy']","['Addio', 'famiglia', 'foryoupage', 'foryou', 'comedy']",39,"['foryoupage', 'foryou', 'comedy']"
1162,73,143,129,12,foryoupage foryou baseball duetto,"foryoupage, foryou, baseball, duetto",2020-05-16,Saturday,May,2020,"['foryoupage', 'foryou', 'baseball', 'duetto']","['foryoupage', 'foryou', 'baseball', 'duetto']",33,"['foryoupage', 'foryou', 'baseball', 'duetto']"
2000000,1401,163,1846,11,Guardatelo fino alla fine duetto con matteosalviniufficiale,duetto,2020-05-16,Saturday,May,2020,"['Guardatelo', 'fino', 'alla', 'fine', 'duetto', 'con', 'matteosalviniufficiale']","['Guardatelo', 'fino', 'alla', 'fine', 'duetto', 'con', 'matteosalviniufficiale']",59,['duetto']
1406,75,365,192,11,nopressure foryoupage foryou trevisscott,"nopressure, foryoupage, foryou, trevisscott",2020-05-15,Friday,May,2020,"['nopressure', 'foryoupage', 'foryou', 'trevisscott']","['nopressure', 'foryoupage', 'foryou', 'trevisscott']",40,"['nopressure', 'foryoupage', 'foryou', 'trevisscott']"
1188,48,167,137,7,Raccontami le vostre esperienze a casa di amici foryoupage foryou ,"foryoupage, foryou",2020-05-14,Thursday,May,2020,"['Raccontami', 'le', 'vostre', 'esperienze', 'a', 'casa', 'di', 'amici', 'foryoupage', 'foryou']","['Raccontami', 'le', 'vostre', 'esperienze', 'casa', 'di', 'amici', 'foryoupage', 'foryou']",66,"['foryoupage', 'foryou']"
1064,240,86,112,9,raga finalmente siamo arrivati a 50k grazie per sostenermi tutti i giornicontinueremo con i video pi forti che mai50kfollowers foryoupage,"50kfollowers, foryoupage",2020-05-14,Thursday,May,2020,"['raga', 'finalmente', 'siamo', 'arrivati', 'a', '50k', 'grazie', 'per', 'sostenermi', 'tutti', 'i', 'giornicontinueremo', 'con', 'i', 'video', 'pi', 'forti', 'che', 'mai50kfollowers', 'foryoupage']","['raga', 'finalmente', 'siamo', 'arrivati', '50k', 'grazie', 'per', 'sostenermi', 'tutti', 'giornicontinueremo', 'con', 'video', 'pi', 'forti', 'che', 'mai50kfollowers', 'foryoupage']",137,"['50kfollowers', 'foryoupage']"
