views,comments,shares,likes,duration,captions,hashtags,created_at
291٫3,213,533,33٫4,7,Tagga il tuo amico single #foryoupage #foryou #comic #single,"foryoupage, foryou, comic, single",12/3/2020
257٫1,405,1٫759,38٫6,37,La persona dopo la @ deve fare un partita a scacchi con te #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",12/3/2020
221٫3,117,104,28٫9,7,La persona dopo la @ ti sta spiando #foryoupage #foryou #comic #fbi,"foryoupage, foryou, comic, fbi",12/3/2020
333٫3,195,255,46٫7,10,se vi piece questo genere vi porto altri giochi #foryoupage #foryou #comic #game,"foryoupage, foryou, comic, game",12/2/2020
"1,200,000",959,3٫27,211٫1,13,la persona dopo la @ e tuo foglio/a#foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",12/2/2020
581٫9,233,460,79٫7,13,Addio amici #foryoupage #foryou #comic #horror,"foryoupage, foryou, comic, horror",12/1/2020
437٫6,289,678,51٫6,10,#stitch con @photographer585 tagga un amico single #foryoupage #foryou #comic #single,"stitch, foryoupage, foryou, comic, single",12/1/2020
290٫9,491,893,37٫4,11,Sfogatevi soldati #foryoupage #foryou #comic #nnn,"foryoupage, foryou, comic, nnn",12/1/2020
338٫6,1٫702,327,47٫4,8,che tristezza #foryoupage #foryou #comic,"foryoupage, foryou, comic",11/30/2020
"3,700,000",1٫836,1٫583,449٫7,13,#foryoupage #foryou #comic,"foryoupage, foryou, comic",11/30/2020
314٫7,1٫461,444,37,15,VI VOGLIO UN BENE CHE NON VI IMMAGINATE #foryoupage #foryou,"foryoupage, foryou",11/29/2020
458٫2,20٫5,102,74٫6,15,Si sto chiedendo l’impossibile ma io credo in voiiiii#foryoupage #foryou #missionimpossible,"foryoupage, foryou, missionimpossible",11/29/2020
619,804,181,101٫2,14,Io sono incredulo #foryoupage #foryou #comic #viral,"foryoupage, foryou, comic, viral",11/29/2020
390٫7,76,137,46,9,"Sempre la stessa storia, che serie state guardando #foryoupage #foryou #comic","foryoupage, foryou, comic",11/29/2020
344٫8,302,410,48٫3,10,#duetto con @brycebuse3 #foryoupage #foryou #comic,"duetto, foryoupage, foryou, comic",11/29/2020
225٫1,129,374,28٫7,15,#duetto con @tyleebeauty #foryoupage #foryou #comic,"duetto, foryoupage, foryou, comic",11/28/2020
487٫2,386,1٫362,96٫9,58,Come mi immagino Maradona davanti a dio #lamanodios #foryoupage #foryou #comic,"lamanodios, foryoupage, foryou, comic",11/28/2020
238,132,198,34٫5,24,la mamma trova tutto #foryoupage #foryou #comic #covid,"foryoupage, foryou, comic, covid",11/27/2020
438٫2,1٫133,2٫002,74٫6,19,tagga un appassionato di anime #foryoupage #foryou #leggenda #comic #naruto,"foryoupage, foryou, leggenda, comic, naruto",11/26/2020
"1,100,000",2٫118,3٫859,201٫8,41,Entrato fra le leggende #foryoupage #foryou #comic #leggenda #maradona,"foryoupage, foryou, comic, leggenda, maradona",11/26/2020
313٫3,305,92,44٫4,11,#questoèilmiosogno Essere come lui ❤️ Ed i vostri sogni nella vita quali sono?,questoèilmiosogno,11/25/2020
172٫3,189,169,20٫2,11,riposa in pace leggenda #foryoupage #foryou #maradona,"foryoupage, foryou, maradona",11/25/2020
